geography_code,geography_name,disposition,qualified
10007,"Aberdeen (NSW)",lineage_unverified,false
10015,"Adaminaby",lineage_unverified,false
10061,"Anna Bay",lineage_unverified,false
10199,"Bargo",lineage_unverified,false
10200,"Barham",lineage_unverified,false
10207,"Barraba",lineage_unverified,false
10237,"Bayview (NSW)",lineage_unverified,false
10257,"Belfield",lineage_unverified,false
10283,"Belrose",lineage_unverified,false
10308,"Berowra",lineage_unverified,false
10309,"Berowra Heights",lineage_unverified,false
10315,"Berridale",lineage_unverified,false
10317,"Berrigan",lineage_unverified,false
10364,"Bingara",lineage_unverified,false
10409,"Blayney",lineage_unverified,false
10438,"Bogangar",lineage_unverified,false
10441,"Boggabri",lineage_unverified,false
10454,"Bombala",lineage_unverified,false
10501,"Boorowa",lineage_unverified,false
10520,"Bourke",lineage_unverified,false
10535,"Bowraville",lineage_unverified,false
10544,"Braidwood",lineage_unverified,false
10572,"Bringelly",lineage_unverified,false
10596,"Brooklyn (NSW)",lineage_unverified,false
10646,"Bulahdelah",lineage_unverified,false
10653,"Bullaburra",lineage_unverified,false
10659,"Bulli",lineage_unverified,false
10667,"Bundanoon (NSW)",lineage_unverified,false
10693,"Buronga",lineage_unverified,false
10795,"Canowindra",lineage_unverified,false
10914,"Church Point",lineage_unverified,false
10923,"Claymore",lineage_unverified,false
10964,"Coleambally",lineage_unverified,false
11002,"Condobolin",lineage_unverified,false
11024,"Coolah",lineage_unverified,false
11025,"Coolamon",lineage_unverified,false
11043,"Coonabarabran",lineage_unverified,false
11044,"Coonamble",lineage_unverified,false
11063,"Coraki",lineage_unverified,false
11080,"Corowa",lineage_unverified,false
11124,"Crookwell",lineage_unverified,false
11148,"Culcairn",lineage_unverified,false
11243,"Denman",lineage_unverified,false
11280,"Dorrigo",lineage_unverified,false
11323,"Dungog",lineage_unverified,false
11378,"Eden",lineage_unverified,false
11472,"Evans Head",lineage_unverified,false
11499,"Faulconbridge",lineage_unverified,false
11523,"Finley",lineage_unverified,false
11547,"Forest Hill (NSW)",lineage_unverified,false
11586,"Galston",lineage_unverified,false
11610,"Gerringong",lineage_unverified,false
11623,"Gilgandra",lineage_unverified,false
11660,"Glenbrook",lineage_unverified,false
11671,"Glenhaven",lineage_unverified,false
11677,"Glenorie",lineage_unverified,false
11689,"Gloucester",lineage_unverified,false
11697,"Gol Gol",lineage_unverified,false
11782,"Grenfell",lineage_unverified,false
11784,"Greta (NSW)",lineage_unverified,false
11809,"Gundagai",lineage_unverified,false
11835,"Haberfield",lineage_unverified,false
11858,"Harden",lineage_unverified,false
11865,"Harrington",lineage_unverified,false
11881,"Hay (NSW)",lineage_unverified,false
11888,"Hazelbrook",lineage_unverified,false
11897,"Helensburgh",lineage_unverified,false
11919,"Hillston",lineage_unverified,false
11927,"Holbrook",lineage_unverified,false
11931,"Holmesville",lineage_unverified,false
11957,"Howlong",lineage_unverified,false
11983,"Iluka (NSW)",lineage_unverified,false
11999,"Islington",lineage_unverified,false
12041,"Jindera",lineage_unverified,false
12065,"Kandos",lineage_unverified,false
12102,"Kemps Creek",lineage_unverified,false
12104,"Kendall",lineage_unverified,false
12108,"Kenthurst",lineage_unverified,false
12117,"Kew (NSW)",lineage_unverified,false
12203,"Kootingal",lineage_unverified,false
12223,"Kurmond",lineage_unverified,false
12224,"Kurnell",lineage_unverified,false
12226,"Kurrajong",lineage_unverified,false
12298,"Lawson (NSW)",lineage_unverified,false
12329,"Lightning Ridge",lineage_unverified,false
12378,"Lockhart",lineage_unverified,false
12484,"Manilla",lineage_unverified,false
12579,"Menangle",lineage_unverified,false
12596,"Merriwa (NSW)",lineage_unverified,false
12634,"Millthorpe",lineage_unverified,false
12636,"Milperra",lineage_unverified,false
12641,"Milton (NSW)",lineage_unverified,false
12682,"Molong",lineage_unverified,false
12761,"Mount Colah",lineage_unverified,false
12841,"Mulwala",lineage_unverified,false
12920,"Narromine",lineage_unverified,false
13032,"Northbridge (NSW)",lineage_unverified,false
13060,"Nyngan",lineage_unverified,false
13114,"Ourimbah",lineage_unverified,false
13123,"Oyster Bay",lineage_unverified,false
13143,"Palm Beach (NSW)",lineage_unverified,false
13262,"Portland (NSW)",lineage_unverified,false
13314,"Quirindi",lineage_unverified,false
13524,"Seaforth (NSW)",lineage_unverified,false
13562,"Silverwater (Parramatta - NSW)",lineage_unverified,false
13819,"Terrey Hills",lineage_unverified,false
13903,"Tocumwal",lineage_unverified,false
13950,"Trangie",lineage_unverified,false
13979,"Tumbarumba",lineage_unverified,false
14069,"Uralla (NSW)",lineage_unverified,false
14079,"Urunga",lineage_unverified,false
14111,"Walcha",lineage_unverified,false
14114,"Walgett",lineage_unverified,false
14132,"Wallerawang",lineage_unverified,false
14153,"Wangi Wangi",lineage_unverified,false
14167,"Warialda",lineage_unverified,false
14189,"Warren",lineage_unverified,false
14191,"Warriewood",lineage_unverified,false
14228,"Wee Waa",lineage_unverified,false
14242,"Wentworth (NSW)",lineage_unverified,false
14255,"Werris Creek",lineage_unverified,false
14270,"West Wallsend",lineage_unverified,false
14273,"West Wyalong",lineage_unverified,false
14333,"Windale",lineage_unverified,false
14401,"Woodford (NSW)",lineage_unverified,false
14522,"Yenda (NSW)",lineage_unverified,false
