locality_raw,reason,candidate_count,candidates
ALTONA EAST,no_asgs_sal_match,0,""
ASCOT (GREATER BENDIGO),no_asgs_sal_match,0,""
BALCOMBE,no_asgs_sal_match,0,""
BELLFIELD (BANYULE),no_asgs_sal_match,0,""
CHELTENHAM EAST,no_asgs_sal_match,0,""
CHELTENHAM NORTH,no_asgs_sal_match,0,""
CLAYTON NORTH,no_asgs_sal_match,0,""
COBURG EAST,no_asgs_sal_match,0,""
COONANS HILL,no_asgs_sal_match,0,""
COWES WEST,no_asgs_sal_match,0,""
GARDEN CITY,no_asgs_sal_match,0,""
GOLDEN POINT (BALLARAT),no_asgs_sal_match,0,""
GREEN LAKE,no_asgs_sal_match,0,""
HASTINGS WEST,no_asgs_sal_match,0,""
HILLSIDE (GREATER MELBOURNE),no_asgs_sal_match,0,""
HILLSIDE (MELTON),no_asgs_sal_match,0,""
JEERALANG NORTH,no_asgs_sal_match,0,""
KANGAROO GROUND SOUTH,no_asgs_sal_match,0,""
KEW NORTH,no_asgs_sal_match,0,""
KILLARA (WODONGA),no_asgs_sal_match,0,""
LARA LAKE,no_asgs_sal_match,0,""
LAVERTON SOUTH,no_asgs_sal_match,0,""
MERINDA PARK,no_asgs_sal_match,0,""
NEWTOWN (GREATER GEELONG),no_asgs_sal_match,0,""
OSBORNE,no_asgs_sal_match,0,""
PATTERSON GARDENS,no_asgs_sal_match,0,""
ROSEBUD SOUTH,no_asgs_sal_match,0,""
SANCTUARY LAKES,no_asgs_sal_match,0,""
STUDFIELD,no_asgs_sal_match,0,""
SUNNYCLIFFS,no_asgs_sal_match,0,""
SYNDAL,no_asgs_sal_match,0,""
THOMSON (GREATER GEELONG),no_asgs_sal_match,0,""
WALLAN EAST,no_asgs_sal_match,0,""
WENDOUREE WEST,no_asgs_sal_match,0,""
WESTALL,no_asgs_sal_match,0,""
WESTGARTH,no_asgs_sal_match,0,""
WOOLAMAI WATERS,no_asgs_sal_match,0,""
FISHERMANS BEND,no_asgs_sal_match,0,""
JOLIMONT,no_asgs_sal_match,0,""
